timestamp,event,title,author,bets,winrate,price,postUrl,profileUrl
2025-09-14T00:30:00.760Z,BAKOUPE +4.3%,BAKOUPE +4.3%,bakoupe,130,4.3,4.3,,https://www.oddsportal.com/profile/bakoupe/
2025-09-14T00:30:00.761Z,BAKOUPE +4.3%,BAKOUPE +4.3%,bakoupe,130,4.3,4.3,,https://www.oddsportal.com/profile/bakoupe/
2025-09-14T00:30:00.762Z,BAKOUPE +4.3%,BAKOUPE +4.3%,bakoupe,130,4.3,4.3,,https://www.oddsportal.com/profile/bakoupe/
2025-09-14T00:30:00.763Z,CLEARWATER +3.9%,CLEARWATER +3.9%,ClearWater,NaN,3.9,3.9,,https://www.oddsportal.com/profile/ClearWater/
2025-09-14T00:30:00.763Z,CLEARWATER +3.9%,CLEARWATER +3.9%,ClearWater,NaN,3.9,3.9,,https://www.oddsportal.com/profile/ClearWater/
2025-09-14T00:30:00.764Z,CLEARWATER +3.9%,CLEARWATER +3.9%,ClearWater,NaN,3.9,3.9,,https://www.oddsportal.com/profile/ClearWater/
2025-09-14T00:30:29.229Z,SANTAFE +1%,SANTAFE +1%,SantaFe,100,1,NaN,,https://www.oddsportal.com/profile/SantaFe/
2025-09-14T00:30:29.230Z,SANTAFE +1%,SANTAFE +1%,SantaFe,100,1,NaN,,https://www.oddsportal.com/profile/SantaFe/
2025-09-14T00:30:29.231Z,SANTAFE +1%,SANTAFE +1%,SantaFe,100,1,NaN,,https://www.oddsportal.com/profile/SantaFe/
2025-09-14T00:32:12.021Z,EPYKS27 +0.3%,EPYKS27 +0.3%,epyks27,510,0.3,NaN,,https://www.oddsportal.com/profile/epyks27/
